"","filecoverage","totalcoverage"
"R/absDS.R",100,24.13
"R/asCharacterDS.R",100,24.13
"R/asDataMatrixDS.R",66.67,24.13
"R/asFactorDS1.R",62.5,24.13
"R/asFactorDS2.R",100,24.13
"R/asFactorSimpleDS.R",100,24.13
"R/asIntegerDS.R",66.67,24.13
"R/asListDS.R",81.82,24.13
"R/asLogicalDS.R",100,24.13
"R/asMatrixDS.R",66.67,24.13
"R/asNumericDS.R",83.33,24.13
"R/aucDS.R",86.67,24.13
"R/blackBoxDS.R",0,24.13
"R/blackBoxRanksDS.R",0,24.13
"R/BooleDS.R",75,24.13
"R/boxPlotGG_data_Treatment_numericDS.R",0,24.13
"R/boxPlotGG_data_TreatmentDS.R",0,24.13
"R/boxPlotGGDS.R",0,24.13
"R/bp_standardsDS.R",0,24.13
"R/cbindDS.R",77.78,24.13
"R/cDS.R",66.67,24.13
"R/changeRefGroupDS.R",100,24.13
"R/checkNegValueDS.R",100,24.13
"R/checkPermissivePrivacyControlLevel.R",80,24.13
"R/classDS.R",100,24.13
"R/colnamesDS.R",100,24.13
"R/completeCasesDS.R",72.73,24.13
"R/corDS.R",81.82,24.13
"R/corTestDS.R",100,24.13
"R/covDS.R",59.57,24.13
"R/dataFrameDS.R",65.38,24.13
"R/dataFrameFillDS.R",93.33,24.13
"R/dataFrameSortDS.R",77.78,24.13
"R/dataFrameSubsetDS1.R",0,24.13
"R/dataFrameSubsetDS2.R",0,24.13
"R/densityGridDS.R",0,24.13
"R/dimDS.R",100,24.13
"R/dmtC2SDS.R",0,24.13
"R/elsplineDS.R",0,24.13
"R/extract.R",100,24.13
"R/extractQuantilesDS1.R",0,24.13
"R/extractQuantilesDS2.R",0,24.13
"R/gamlssDS.R",0,24.13
"R/getWGSRDS.R",79.75,24.13
"R/glmDS1.R",0,24.13
"R/glmDS2.R",0,24.13
"R/glmerSLMADS.assign.R",0,24.13
"R/glmerSLMADS2.R",0,24.13
"R/glmPredictDS.ag.R",0,24.13
"R/glmPredictDS.as.R",0,24.13
"R/glmSLMADS.assign.R",0,24.13
"R/glmSLMADS1.R",0,24.13
"R/glmSLMADS2.R",0,24.13
"R/glmSummaryDS.ag.R",0,24.13
"R/glmSummaryDS.as.R",0,24.13
"R/heatmapPlotDS.R",0,24.13
"R/hetcorDS.R",0,24.13
"R/histogramDS1.R",0,24.13
"R/histogramDS2.R",0,24.13
"R/igb_standardsDS.R",58.12,24.13
"R/isNaDS.R",100,24.13
"R/isValidDS.R",64.71,24.13
"R/kurtosisDS1.R",85,24.13
"R/kurtosisDS2.R",76.92,24.13
"R/lengthDS.R",100,24.13
"R/levelsDS.R",76.92,24.13
"R/lexisDS1.R",0,24.13
"R/lexisDS2.R",0,24.13
"R/lexisDS3.R",0,24.13
"R/listDisclosureSettingsDS.R",100,24.13
"R/listDS.R",100,24.13
"R/lmerSLMADS.assign.R",0,24.13
"R/lmerSLMADS2.R",0,24.13
"R/lsDS.R",84.62,24.13
"R/lsplineDS.R",0,24.13
"R/matrixDetDS1.R",0,24.13
"R/matrixDetDS2.R",0,24.13
"R/matrixDiagDS.R",0,24.13
"R/matrixDimnamesDS.R",0,24.13
"R/matrixDS.R",0,24.13
"R/matrixInvertDS.R",0,24.13
"R/matrixMultDS.R",0,24.13
"R/matrixTransposeDS.R",0,24.13
"R/meanDS.R",100,24.13
"R/meanSdGpDS.R",0,24.13
"R/mergeDS.R",0,24.13
"R/messageDS.R",100,24.13
"R/metadataDS.R",0,24.13
"R/miceDS.R",53.33,24.13
"R/minMaxRandDS.R",0,24.13
"R/namesDS.R",70.59,24.13
"R/nsDS.R",0,24.13
"R/numNaDS.R",100,24.13
"R/qlsplineDS.R",0,24.13
"R/quantileMeanDS.R",87.5,24.13
"R/rangeDS.R",81.82,24.13
"R/ranksSecureDS1.R",0,24.13
"R/ranksSecureDS2.R",0,24.13
"R/ranksSecureDS3.R",0,24.13
"R/ranksSecureDS4.R",0,24.13
"R/ranksSecureDS5.R",0,24.13
"R/rbindDS.R",100,24.13
"R/rBinomDS.R",100,24.13
"R/recodeLevelsDS.R",83.33,24.13
"R/recodeValuesDS.R",78.08,24.13
"R/repDS.R",0,24.13
"R/replaceNaDS.R",69.23,24.13
"R/reShapeDS.R",0,24.13
"R/rmDS.R",89.47,24.13
"R/rNormDS.R",100,24.13
"R/rowColCalcDS.R",78.57,24.13
"R/rPoisDS.R",100,24.13
"R/rUnifDS.R",100,24.13
"R/sampleDS.R",65.83,24.13
"R/scatterPlotDS.R",0,24.13
"R/seqDS.R",58.82,24.13
"R/setFilterDS.R",100,24.13
"R/setSeedDS.R",100,24.13
"R/skewnessDS1.R",85,24.13
"R/skewnessDS2.R",71.43,24.13
"R/sqrtDS.R",100,24.13
"R/subsetByClassDS.R",95.65,24.13
"R/subsetByClassHelper1.R",61.9,24.13
"R/subsetByClassHelper2.R",67.74,24.13
"R/subsetByClassHelper3.R",63.33,24.13
"R/subsetDS.R",39.62,24.13
"R/table1DDS.R",0,24.13
"R/table2DDS.R",0,24.13
"R/tableDS.assign.R",0,24.13
"R/tableDS.R",0,24.13
"R/tableDS2.R",0,24.13
"R/tapplyDS.assign.R",28.37,24.13
"R/tapplyDS.R",52.08,24.13
"R/testObjExistsDS.R",100,24.13
"R/uniqueDS.R",88.89,24.13
"R/unListDS.R",66.67,24.13
"R/varDS.R",100,24.13
"R/vectorDS.R",0,24.13
