"","filecoverage","totalcoverage"
"R/checkClass.R",100,64.01
"R/colPercent.R",100,64.01
"R/ds.asCharacter.R",70.59,64.01
"R/ds.asDataMatrix.R",70.59,64.01
"R/ds.asFactor.R",78.72,64.01
"R/ds.asInteger.R",72.97,64.01
"R/ds.asList.R",100,64.01
"R/ds.asLogical.R",70.59,64.01
"R/ds.asMatrix.R",70.59,64.01
"R/ds.asNumeric.R",72.97,64.01
"R/ds.assign.R",87.5,64.01
"R/ds.Boole.R",71.62,64.01
"R/ds.cbind.R",74.11,64.01
"R/ds.changeRefGroup.R",91.67,64.01
"R/ds.class.R",100,64.01
"R/ds.colnames.R",90.91,64.01
"R/ds.contourPlot.R",0,64.01
"R/ds.cor.R",96.26,64.01
"R/ds.corTest.R",94.74,64.01
"R/ds.cov.R",89.87,64.01
"R/ds.c.R",90,64.01
"R/ds.dataFrameFill.R",78.57,64.01
"R/ds.dataFrame.R",72.81,64.01
"R/ds.dataFrameSort.R",67.35,64.01
"R/ds.dataFrameSubset.R",62.64,64.01
"R/ds.densityGrid.R",0,64.01
"R/ds.dim.R",97.44,64.01
"R/ds.exists.R",100,64.01
"R/ds.exp.R",88.89,64.01
"R/ds.glm.R",61.81,64.01
"R/ds.glmSLMA.R",79.91,64.01
"R/ds.heatmapPlot.R",0,64.01
"R/ds.histogram.R",0,64.01
"R/ds.isNA.R",83.33,64.01
"R/ds.isValid.R",93.75,64.01
"R/ds.length.R",97.37,64.01
"R/ds.levels.R",93.75,64.01
"R/ds.lexis.R",85.71,64.01
"R/ds.listClientsideFunctions.R",85.96,64.01
"R/ds.listDisclosureSettings.R",100,64.01
"R/ds.listOpals.R",0,64.01
"R/ds.list.R",85,64.01
"R/ds.listServersideFunctions.R",100,64.01
"R/ds.log.R",84.21,64.01
"R/ds.look.R",100,64.01
"R/ds.ls.R",100,64.01
"R/ds.make.R",68,64.01
"R/ds.matrixDet.R",70.91,64.01
"R/ds.matrixDet.report.R",100,64.01
"R/ds.matrixDiag.R",68.75,64.01
"R/ds.matrixDimnames.R",70.59,64.01
"R/ds.matrixInvert.R",70.59,64.01
"R/ds.matrixMult.R",69.81,64.01
"R/ds.matrix.R",67.69,64.01
"R/ds.matrixTranspose.R",70.59,64.01
"R/ds.meanByClass.R",95.65,64.01
"R/ds.mean.R",98.21,64.01
"R/ds.meanSdGp.R",89.38,64.01
"R/ds.merge.R",75.38,64.01
"R/ds.message.R",100,64.01
"R/ds.names.R",100,64.01
"R/ds.numNA.R",90.91,64.01
"R/ds.quantileMean.R",100,64.01
"R/ds.rbind.R",66.36,64.01
"R/ds.rBinom.R",67.59,64.01
"R/ds.recodeLevels.R",100,64.01
"R/ds.recodeValues.R",70.59,64.01
"R/ds.replaceNA.R",82.14,64.01
"R/ds.reShape.R",70,64.01
"R/ds.rm.R",100,64.01
"R/ds.rNorm.R",66.35,64.01
"R/ds.rowColCalc.R",91.89,64.01
"R/ds.rPois.R",67.35,64.01
"R/ds.rUnif.R",70.19,64.01
"R/ds.scatterPlot.R",0,64.01
"R/ds.seq.R",72.94,64.01
"R/ds.setDefaultOpals.R",0,64.01
"R/ds.setSeed.R",87.5,64.01
"R/ds.subsetByClass.R",93.33,64.01
"R/ds.subset.R",56.82,64.01
"R/ds.summary.R",70.24,64.01
"R/ds.table1D.R",83.93,64.01
"R/ds.table2D.R",82.56,64.01
"R/ds.tapply.assign.R",72.13,64.01
"R/ds.tapply.R",94.12,64.01
"R/ds.testObjExists.R",66.67,64.01
"R/ds.unList.R",78.43,64.01
"R/ds.var.R",100,64.01
"R/ds.vectorCalc.R",89.47,64.01
"R/extract.R",100,64.01
"R/findLoginObjects.R",33.33,64.01
"R/getOpals.R",54.29,64.01
"R/getPooledMean.R",100,64.01
"R/getPooledVar.R",100,64.01
"R/glmChecks.R",48.21,64.01
"R/isAssigned.R",71.43,64.01
"R/isDefined.R",100,64.01
"R/logical2int.R",28.57,64.01
"R/meanByClassHelper0a.R",88.89,64.01
"R/meanByClassHelper0b.R",91.67,64.01
"R/meanByClassHelper1.R",84.62,64.01
"R/meanByClassHelper2.R",89.29,64.01
"R/meanByClassHelper3.R",76.92,64.01
"R/meanByClassHelper4.R",78.57,64.01
"R/rowPercent.R",100,64.01
"R/subsetHelper.R",77.78,64.01
