"","filecoverage","totalcoverage"
"R/checkClass.R",100,56.83
"R/colPercent.R",100,56.83
"R/ds.asCharacter.R",70.59,56.83
"R/ds.asDataMatrix.R",70.59,56.83
"R/ds.asFactor.R",78.72,56.83
"R/ds.asInteger.R",70.59,56.83
"R/ds.asList.R",100,56.83
"R/ds.asLogical.R",70.59,56.83
"R/ds.asMatrix.R",70.59,56.83
"R/ds.asNumeric.R",70.59,56.83
"R/ds.assign.R",87.5,56.83
"R/ds.Boole.R",71.62,56.83
"R/ds.cbind.R",74.11,56.83
"R/ds.changeRefGroup.R",91.67,56.83
"R/ds.class.R",100,56.83
"R/ds.colnames.R",90.91,56.83
"R/ds.completeCases.R",67.31,56.83
"R/ds.contourPlot.R",0,56.83
"R/ds.cor.R",96.26,56.83
"R/ds.corTest.R",94.74,56.83
"R/ds.cov.R",89.87,56.83
"R/ds.c.R",94.44,56.83
"R/ds.dataFrameFill.R",78.57,56.83
"R/ds.dataFrame.R",72.81,56.83
"R/ds.dataFrameSort.R",67.35,56.83
"R/ds.dataFrameSubset.R",62.64,56.83
"R/ds.densityGrid.R",0,56.83
"R/ds.dim.R",97.44,56.83
"R/ds.exists.R",100,56.83
"R/ds.exp.R",88.89,56.83
"R/ds.glm.R",61.81,56.83
"R/ds.glmSLMA.R",81.25,56.83
"R/ds.heatmapPlot.R",0,56.83
"R/ds.histogram.R",0,56.83
"R/ds.isNA.R",83.33,56.83
"R/ds.isValid.R",93.75,56.83
"R/ds.length.R",97.37,56.83
"R/ds.levels.R",93.75,56.83
"R/ds.lexis.R",85.71,56.83
"R/ds.listClientsideFunctions.R",85.96,56.83
"R/ds.listDisclosureSettings.R",100,56.83
"R/ds.listOpals.R",0,56.83
"R/ds.list.R",85,56.83
"R/ds.listServersideFunctions.R",100,56.83
"R/ds.log.R",84.21,56.83
"R/ds.look.R",100,56.83
"R/ds.ls.R",100,56.83
"R/ds.make.R",68,56.83
"R/ds.matrixDet.R",70.91,56.83
"R/ds.matrixDet.report.R",100,56.83
"R/ds.matrixDiag.R",68.75,56.83
"R/ds.matrixDimnames.R",70.59,56.83
"R/ds.matrixInvert.R",70.59,56.83
"R/ds.matrixMult.R",69.81,56.83
"R/ds.matrix.R",67.69,56.83
"R/ds.matrixTranspose.R",70.59,56.83
"R/ds.meanByClass.R",95.65,56.83
"R/ds.mean.R",98.21,56.83
"R/ds.meanSdGp.R",89.38,56.83
"R/ds.merge.R",75.38,56.83
"R/ds.message.R",100,56.83
"R/ds.names.R",100,56.83
"R/ds.numNA.R",90.91,56.83
"R/ds.quantileMean.R",100,56.83
"R/ds.rbind.R",66.36,56.83
"R/ds.rBinom.R",67.59,56.83
"R/ds.recodeLevels.R",100,56.83
"R/ds.recodeValues.R",70.59,56.83
"R/ds.replaceNA.R",82.14,56.83
"R/ds.rep.R",48.28,56.83
"R/ds.reShape.R",70,56.83
"R/ds.rm.R",100,56.83
"R/ds.rNorm.R",66.35,56.83
"R/ds.rowColCalc.R",91.89,56.83
"R/ds.rPois.R",67.35,56.83
"R/ds.rUnif.R",66.02,56.83
"R/ds.scatterPlot.R",0,56.83
"R/ds.seq.R",72.94,56.83
"R/ds.setDefaultOpals.R",0,56.83
"R/ds.setSeed.R",87.5,56.83
"R/ds.subsetByClass.R",93.33,56.83
"R/ds.subset.R",56.82,56.83
"R/ds.summary.R",70.24,56.83
"R/ds.table1D.R",83.93,56.83
"R/ds.table2D.R",82.56,56.83
"R/ds.table.R",1.81,56.83
"R/ds.tapply.assign.R",72.13,56.83
"R/ds.tapply.R",94.12,56.83
"R/ds.testObjExists.R",66.67,56.83
"R/ds.unList.R",78.43,56.83
"R/ds.var.R",100,56.83
"R/ds.vectorCalc.R",89.47,56.83
"R/extract.R",100,56.83
"R/getPooledMean.R",100,56.83
"R/getPooledVar.R",100,56.83
"R/glmChecks.R",48.21,56.83
"R/isAssigned.R",71.43,56.83
"R/isDefined.R",100,56.83
"R/logical2int.R",28.57,56.83
"R/meanByClassHelper0a.R",88.89,56.83
"R/meanByClassHelper0b.R",91.67,56.83
"R/meanByClassHelper1.R",84.62,56.83
"R/meanByClassHelper2.R",89.29,56.83
"R/meanByClassHelper3.R",76.92,56.83
"R/meanByClassHelper4.R",78.57,56.83
"R/rowPercent.R",100,56.83
"R/subsetHelper.R",77.78,56.83
