"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,1.18
"R/colPercent.R",0,1.18
"R/ds.abs.R",0,1.18
"R/ds.asCharacter.R",0,1.18
"R/ds.asDataMatrix.R",0,1.18
"R/ds.asFactor.R",0,1.18
"R/ds.asFactorSimple.R",0,1.18
"R/ds.asInteger.R",0,1.18
"R/ds.asList.R",0,1.18
"R/ds.asLogical.R",0,1.18
"R/ds.asMatrix.R",0,1.18
"R/ds.asNumeric.R",0,1.18
"R/ds.assign.R",0,1.18
"R/ds.Boole.R",0,1.18
"R/ds.boxPlot.R",0,1.18
"R/ds.boxPlotGG_data_Treatment_numeric.R",0,1.18
"R/ds.boxPlotGG_data_Treatment.R",0,1.18
"R/ds.boxPlotGG_numeric.R",0,1.18
"R/ds.boxPlotGG_table.R",0,1.18
"R/ds.boxPlotGG.R",0,1.18
"R/ds.c.R",0,1.18
"R/ds.cbind.R",0,1.18
"R/ds.changeRefGroup.R",0,1.18
"R/ds.class.R",80,1.18
"R/ds.colnames.R",76.92,1.18
"R/ds.completeCases.R",0,1.18
"R/ds.contourPlot.R",0,1.18
"R/ds.cor.R",0,1.18
"R/ds.corTest.R",0,1.18
"R/ds.cov.R",0,1.18
"R/ds.dataFrame.R",0,1.18
"R/ds.dataFrameFill.R",0,1.18
"R/ds.dataFrameSort.R",0,1.18
"R/ds.dataFrameSubset.R",0,1.18
"R/ds.densityGrid.R",0,1.18
"R/ds.dim.R",0,1.18
"R/ds.dmtC2S.R",0,1.18
"R/ds.exists.R",0,1.18
"R/ds.exp.R",0,1.18
"R/ds.forestplot.R",0,1.18
"R/ds.getWGSR.R",0,1.18
"R/ds.glm.R",0,1.18
"R/ds.glmerSLMA.R",0,1.18
"R/ds.glmPredict.R",0,1.18
"R/ds.glmSLMA.R",0,1.18
"R/ds.glmSummary.R",0,1.18
"R/ds.heatmapPlot.R",0,1.18
"R/ds.histogram.R",0,1.18
"R/ds.isNA.R",0,1.18
"R/ds.isValid.R",0,1.18
"R/ds.kurtosis.R",0,1.18
"R/ds.length.R",58.82,1.18
"R/ds.levels.R",0,1.18
"R/ds.lexis.R",0,1.18
"R/ds.list.R",0,1.18
"R/ds.listClientsideFunctions.R",0,1.18
"R/ds.listDisclosureSettings.R",0,1.18
"R/ds.listOpals.R",0,1.18
"R/ds.listServersideFunctions.R",0,1.18
"R/ds.lmerSLMA.R",0,1.18
"R/ds.log.R",0,1.18
"R/ds.look.R",0,1.18
"R/ds.ls.R",36.54,1.18
"R/ds.make.R",0,1.18
"R/ds.matrix.R",0,1.18
"R/ds.matrixDet.R",0,1.18
"R/ds.matrixDet.report.R",0,1.18
"R/ds.matrixDiag.R",0,1.18
"R/ds.matrixDimnames.R",0,1.18
"R/ds.matrixInvert.R",0,1.18
"R/ds.matrixMult.R",0,1.18
"R/ds.matrixTranspose.R",0,1.18
"R/ds.mean.R",0,1.18
"R/ds.meanByClass.R",0,1.18
"R/ds.meanSdGp.R",0,1.18
"R/ds.merge.R",0,1.18
"R/ds.message.R",0,1.18
"R/ds.metadata.R",0,1.18
"R/ds.names.R",0,1.18
"R/ds.numNA.R",0,1.18
"R/ds.quantileMean.R",0,1.18
"R/ds.rbind.R",0,1.18
"R/ds.rBinom.R",0,1.18
"R/ds.recodeLevels.R",0,1.18
"R/ds.recodeValues.R",0,1.18
"R/ds.rep.R",0,1.18
"R/ds.replaceNA.R",0,1.18
"R/ds.reShape.R",0,1.18
"R/ds.rm.R",0,1.18
"R/ds.rNorm.R",0,1.18
"R/ds.rowColCalc.R",0,1.18
"R/ds.rPois.R",0,1.18
"R/ds.rUnif.R",0,1.18
"R/ds.sample.R",0,1.18
"R/ds.scatterPlot.R",0,1.18
"R/ds.seq.R",0,1.18
"R/ds.setDefaultOpals.R",0,1.18
"R/ds.setSeed.R",0,1.18
"R/ds.skewness.R",0,1.18
"R/ds.sqrt.R",0,1.18
"R/ds.subset.R",0,1.18
"R/ds.subsetByClass.R",0,1.18
"R/ds.summary.R",0,1.18
"R/ds.table.R",0,1.18
"R/ds.table1D.R",0,1.18
"R/ds.table2D.R",0,1.18
"R/ds.tapply.assign.R",0,1.18
"R/ds.tapply.R",0,1.18
"R/ds.testObjExists.R",0,1.18
"R/ds.unList.R",0,1.18
"R/ds.var.R",0,1.18
"R/ds.vectorCalc.R",0,1.18
"R/extract.R",100,1.18
"R/getPooledMean.R",0,1.18
"R/getPooledVar.R",0,1.18
"R/glmChecks.R",0,1.18
"R/isAssigned.R",0,1.18
"R/isDefined.R",100,1.18
"R/logical2int.R",0,1.18
"R/meanByClassHelper0a.R",0,1.18
"R/meanByClassHelper0b.R",0,1.18
"R/meanByClassHelper1.R",0,1.18
"R/meanByClassHelper2.R",0,1.18
"R/meanByClassHelper3.R",0,1.18
"R/meanByClassHelper4.R",0,1.18
"R/rowPercent.R",0,1.18
"R/subsetHelper.R",0,1.18
