"","filecoverage","totalcoverage"
"R/checkClass.R",100,63.86
"R/colPercent.R",100,63.86
"R/ds.abs.R",73.33,63.86
"R/ds.asCharacter.R",70.37,63.86
"R/ds.asDataFrame.R",0,63.86
"R/ds.asDataMatrix.R",70.37,63.86
"R/ds.asFactor.R",76.79,63.86
"R/ds.asFactorSimple.R",66.67,63.86
"R/ds.asInteger.R",70.37,63.86
"R/ds.asList.R",90.91,63.86
"R/ds.asLogical.R",70.37,63.86
"R/ds.asMatrix.R",70.37,63.86
"R/ds.asNumeric.R",70.37,63.86
"R/ds.assign.R",80,63.86
"R/ds.auc.R",53.85,63.86
"R/ds.Boole.R",72.37,63.86
"R/ds.boxPlot.R",0,63.86
"R/ds.boxPlotGG_data_Treatment_numeric.R",0,63.86
"R/ds.boxPlotGG_data_Treatment.R",0,63.86
"R/ds.boxPlotGG_numeric.R",0,63.86
"R/ds.boxPlotGG_table.R",0,63.86
"R/ds.boxPlotGG.R",0,63.86
"R/ds.bp_standards.R",0,63.86
"R/ds.c.R",92.86,63.86
"R/ds.cbind.R",76.19,63.86
"R/ds.changeRefGroup.R",89.47,63.86
"R/ds.class.R",90,63.86
"R/ds.colnames.R",84.62,63.86
"R/ds.completeCases.R",69.09,63.86
"R/ds.contourPlot.R",0,63.86
"R/ds.cor.R",94.59,63.86
"R/ds.corTest.R",31.37,63.86
"R/ds.cov.R",95.06,63.86
"R/ds.dataFrame.R",76.47,63.86
"R/ds.dataFrameFill.R",83.54,63.86
"R/ds.dataFrameSort.R",64.15,63.86
"R/ds.dataFrameSubset.R",68.87,63.86
"R/ds.densityGrid.R",0,63.86
"R/ds.dim.R",97.44,63.86
"R/ds.dmtC2S.R",91.78,63.86
"R/ds.elspline.R",60,63.86
"R/ds.exists.R",88.89,63.86
"R/ds.exp.R",80,63.86
"R/ds.extractQuantiles.R",98.46,63.86
"R/ds.forestplot.R",0,63.86
"R/ds.gamlss.R",96.08,63.86
"R/ds.getWGSR.R",61.9,63.86
"R/ds.glm.R",61.52,63.86
"R/ds.glmerSLMA.R",78.12,63.86
"R/ds.glmPredict.R",79.66,63.86
"R/ds.glmSLMA.R",72.18,63.86
"R/ds.glmSummary.R",71.7,63.86
"R/ds.heatmapPlot.R",0,63.86
"R/ds.hetcor.R",70,63.86
"R/ds.histogram.R",0,63.86
"R/ds.igb_standards.R",0,63.86
"R/ds.isNA.R",82.61,63.86
"R/ds.isValid.R",84.62,63.86
"R/ds.kurtosis.R",93.1,63.86
"R/ds.length.R",94.12,63.86
"R/ds.levels.R",84.62,63.86
"R/ds.lexis.R",86.49,63.86
"R/ds.list.R",83.33,63.86
"R/ds.listClientsideFunctions.R",85.96,63.86
"R/ds.listDisclosureSettings.R",85.71,63.86
"R/ds.listOpals.R",0,63.86
"R/ds.listServersideFunctions.R",88.89,63.86
"R/ds.lmerSLMA.R",79.41,63.86
"R/ds.log.R",75,63.86
"R/ds.look.R",90.91,63.86
"R/ds.ls.R",98.08,63.86
"R/ds.lspline.R",61.54,63.86
"R/ds.make.R",67.31,63.86
"R/ds.matrix.R",67.16,63.86
"R/ds.matrixDet.R",70.69,63.86
"R/ds.matrixDet.report.R",92.31,63.86
"R/ds.matrixDiag.R",68.18,63.86
"R/ds.matrixDimnames.R",69.81,63.86
"R/ds.matrixInvert.R",69.81,63.86
"R/ds.matrixMult.R",69.09,63.86
"R/ds.matrixTranspose.R",69.81,63.86
"R/ds.mean.R",96.15,63.86
"R/ds.meanByClass.R",92.31,63.86
"R/ds.meanSdGp.R",91.59,63.86
"R/ds.merge.R",73.91,63.86
"R/ds.message.R",90.91,63.86
"R/ds.metadata.R",71.43,63.86
"R/ds.mice.R",93.75,63.86
"R/ds.names.R",90,63.86
"R/ds.ns.R",87.5,63.86
"R/ds.numNA.R",90.91,63.86
"R/ds.qlspline.R",84.62,63.86
"R/ds.quantileMean.R",94.29,63.86
"R/ds.ranksSecure.R",76.17,63.86
"R/ds.rbind.R",66.67,63.86
