"","filecoverage","totalcoverage"
"R/checkClass.R",22.22,17.21
"R/colPercent.R",0,17.21
"R/ds.asCharacter.R",15.69,17.21
"R/ds.asDataMatrix.R",15.69,17.21
"R/ds.asFactor.R",16.67,17.21
"R/ds.asInteger.R",15.69,17.21
"R/ds.asList.R",100,17.21
"R/ds.asLogical.R",15.69,17.21
"R/ds.asMatrix.R",15.69,17.21
"R/ds.asNumeric.R",15.69,17.21
"R/ds.assign.R",75,17.21
"R/ds.Boole.R",33.78,17.21
"R/ds.cbind.R",17.43,17.21
"R/ds.changeRefGroup.R",54.17,17.21
"R/ds.class.R",62.5,17.21
"R/ds.colnames.R",45.45,17.21
"R/ds.completeCases.R",7.69,17.21
"R/ds.contourPlot.R",0,17.21
"R/ds.cor.R",4.67,17.21
"R/ds.corTest.R",68.42,17.21
"R/ds.cov.R",6.33,17.21
"R/ds.c.R",66.67,17.21
"R/ds.dataFrameFill.R",12.5,17.21
"R/ds.dataFrame.R",17.89,17.21
"R/ds.dataFrameSort.R",17.65,17.21
"R/ds.dataFrameSubset.R",25.27,17.21
"R/ds.densityGrid.R",0,17.21
"R/ds.dim.R",30.77,17.21
"R/ds.exists.R",85.71,17.21
"R/ds.exp.R",50,17.21
"R/ds.glmerSLMA.R",6.67,17.21
"R/ds.glm.R",6.12,17.21
"R/ds.glmSLMA.R",7.69,17.21
"R/ds.heatmapPlot.R",0,17.21
"R/ds.histogram.R",0,17.21
"R/ds.isNA.R",37.5,17.21
"R/ds.isValid.R",56.25,17.21
"R/ds.length.R",42.11,17.21
"R/ds.levels.R",62.5,17.21
"R/ds.lexis.R",28.57,17.21
"R/ds.listClientsideFunctions.R",85.96,17.21
"R/ds.listDisclosureSettings.R",80,17.21
"R/ds.listOpals.R",0,17.21
"R/ds.list.R",50,17.21
"R/ds.listServersideFunctions.R",100,17.21
"R/ds.lmerSLMA.R",5.59,17.21
"R/ds.log.R",47.37,17.21
"R/ds.look.R",88.89,17.21
"R/ds.ls.R",98,17.21
"R/ds.make.R",12,17.21
"R/ds.matrixDet.R",7.27,17.21
"R/ds.matrixDet.report.R",36.36,17.21
"R/ds.matrixDiag.R",25,17.21
"R/ds.matrixDimnames.R",7.84,17.21
"R/ds.matrixInvert.R",7.84,17.21
"R/ds.matrixMult.R",7.55,17.21
"R/ds.matrix.R",24.62,17.21
"R/ds.matrixTranspose.R",7.84,17.21
"R/ds.meanByClass.R",0,17.21
"R/ds.mean.R",28.57,17.21
"R/ds.meanSdGp.R",15.04,17.21
"R/ds.merge.R",24.62,17.21
"R/ds.message.R",77.78,17.21
"R/ds.names.R",45.45,17.21
"R/ds.numNA.R",63.64,17.21
"R/ds.quantileMean.R",22.22,17.21
"R/ds.rbind.R",14.95,17.21
"R/ds.rBinom.R",34.26,17.21
"R/ds.recodeLevels.R",36.36,17.21
"R/ds.recodeValues.R",28.24,17.21
"R/ds.replaceNA.R",35.71,17.21
"R/ds.rep.R",37.93,17.21
"R/ds.reShape.R",23.33,17.21
"R/ds.rm.R",87.5,17.21
"R/ds.rNorm.R",31.73,17.21
"R/ds.rowColCalc.R",13.51,17.21
"R/ds.rPois.R",30.61,17.21
"R/ds.rUnif.R",32.04,17.21
"R/ds.sample.R",34.15,17.21
"R/ds.scatterPlot.R",0,17.21
"R/ds.seq.R",40,17.21
"R/ds.setDefaultOpals.R",0,17.21
"R/ds.setSeed.R",75,17.21
"R/ds.subsetByClass.R",19.35,17.21
"R/ds.subset.R",13.33,17.21
"R/ds.summary.R",10.59,17.21
"R/ds.table1D.R",19.3,17.21
"R/ds.table2D.R",19.54,17.21
"R/ds.table.R",1.74,17.21
"R/ds.tapply.assign.R",21.31,17.21
"R/ds.tapply.R",76.47,17.21
"R/ds.testObjExists.R",16.67,17.21
"R/ds.unList.R",7.84,17.21
"R/ds.var.R",26.32,17.21
"R/ds.vectorCalc.R",70,17.21
"R/extract.R",100,17.21
"R/getPooledMean.R",0,17.21
"R/getPooledVar.R",0,17.21
"R/glmChecks.R",39.68,17.21
"R/isAssigned.R",0,17.21
"R/isDefined.R",72.22,17.21
"R/logical2int.R",0,17.21
"R/meanByClassHelper0a.R",0,17.21
"R/meanByClassHelper0b.R",0,17.21
"R/meanByClassHelper1.R",0,17.21
"R/meanByClassHelper2.R",0,17.21
"R/meanByClassHelper3.R",0,17.21
"R/meanByClassHelper4.R",0,17.21
"R/rowPercent.R",0,17.21
"R/subsetHelper.R",0,17.21
