"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,54.07
"R/colPercent.R",100,54.07
"R/ds.asCharacter.o.R",70.59,54.07
"R/ds.asDataMatrix.o.R",70.59,54.07
"R/ds.asFactor.o.R",76.6,54.07
"R/ds.asInteger.o.R",70.59,54.07
"R/ds.asList.o.R",100,54.07
"R/ds.asLogical.o.R",70.59,54.07
"R/ds.asMatrix.o.R",70.59,54.07
"R/ds.asNumeric.o.R",70.59,54.07
"R/ds.Boole.o.R",67.14,54.07
"R/ds.cbind.o.R",67.86,54.07
"R/ds.cor.o.R",96.26,54.07
"R/ds.cov.o.R",89.87,54.07
"R/ds.dataFrame.o.R",69.64,54.07
"R/ds.dataFrameSort.o.R",66.67,54.07
"R/ds.dataFrameSubset.o.R",62.64,54.07
"R/ds.dim.o.R",79.49,54.07
"R/ds.glm.o.R",60.26,54.07
"R/ds.glmSLMA.o.R",82.52,54.07
"R/ds.histogram.o.R",0,54.07
"R/ds.length.o.R",92.11,54.07
"R/ds.lexis.o.R",11.43,54.07
"R/ds.listClientsideFunctions.o.R",0,54.07
"R/ds.listDisclosureSettings.o.R",100,54.07
"R/ds.listOpals.o.R",0,54.07
"R/ds.listServersideFunctions.o.R",100,54.07
"R/ds.look.o.R",100,54.07
"R/ds.make.o.R",68.75,54.07
"R/ds.matrixDet.R",70.91,54.07
"R/ds.matrixDet.report.R",100,54.07
"R/ds.matrixDiag.R",67.19,54.07
"R/ds.matrixDimnames.R",70.59,54.07
"R/ds.matrixInvert.R",70.59,54.07
"R/ds.matrixMult.R",69.81,54.07
"R/ds.matrix.R",67.69,54.07
"R/ds.matrixTranspose.R",70.59,54.07
"R/ds.mean.o.R",98.28,54.07
"R/ds.meanSdGp.R",89.38,54.07
"R/ds.merge.o.R",0,54.07
"R/ds.message.o.R",100,54.07
"R/ds.rbind.o.R",66.36,54.07
"R/ds.rBinom.o.R",66.98,54.07
"R/ds.recodeValues.o.R",77.65,54.07
"R/ds.reShape.o.R",66.67,54.07
"R/ds.rilm.b.R",0,54.07
"R/ds.rm.o.R",100,54.07
"R/ds.rNorm.o.R",66.35,54.07
"R/ds.rPois.o.R",67.35,54.07
"R/ds.rUnif.o.R",66.35,54.07
"R/ds.scatterPlot.o.R",0,54.07
"R/ds.seq.o.R",74.03,54.07
"R/ds.setDefaultOpals.o.R",0,54.07
"R/ds.setSeed.o.R",87.5,54.07
"R/ds.table2D.o.R",82.56,54.07
"R/ds.tapply.assign.o.R",21.31,54.07
"R/ds.tapply.o.R",76.47,54.07
"R/ds.testObjExists.o.R",47.92,54.07
"R/ds.tTestF.R",0,54.07
"R/ds.unList.o.R",100,54.07
"R/ds.var.o.R",98.25,54.07
"R/extract.R",100,54.07
"R/findLoginObjects.R",33.33,54.07
"R/getOpals.R",54.29,54.07
"R/getPooledMean.R",0,54.07
"R/getPooledVar.R",0,54.07
"R/glmChecks.R",0,54.07
"R/isAssigned.R",0,54.07
"R/isDefined.R",88.89,54.07
"R/logical2int.R",0,54.07
"R/rowPercent.R",100,54.07
"R/subsetHelper.R",0,54.07
"R/tTestHelper1.R",0,54.07
"R/tTestHelper2.R",0,54.07
