"","filecoverage","totalcoverage"
"R/checkClass.R",57.14,50.24
"R/colPercent.R",100,50.24
"R/ds.asCharacter.o.R",70.59,50.24
"R/ds.asDataMatrix.o.R",70.59,50.24
"R/ds.asFactor.o.R",76.6,50.24
"R/ds.asInteger.o.R",70.59,50.24
"R/ds.asList.o.R",100,50.24
"R/ds.asLogical.o.R",70.59,50.24
"R/ds.asMatrix.o.R",70.59,50.24
"R/ds.asNumeric.o.R",70.59,50.24
"R/ds.Boole.o.R",65.71,50.24
"R/ds.cbind.o.R",67.86,50.24
"R/ds.cor.o.R",88.79,50.24
"R/ds.cov.o.R",89.87,50.24
"R/ds.dataFrame.o.R",69.64,50.24
"R/ds.dataFrameSort.o.R",66.67,50.24
"R/ds.dataFrameSubset.o.R",60.44,50.24
"R/ds.dim.o.R",79.49,50.24
"R/ds.glm.o.R",56.09,50.24
"R/ds.glmSLMA.o.R",81.82,50.24
"R/ds.histogram.o.R",0,50.24
"R/ds.length.o.R",92.11,50.24
"R/ds.lexis.o.R",0,50.24
"R/ds.listClientsideFunctions.o.R",0,50.24
"R/ds.listDisclosureSettings.o.R",100,50.24
"R/ds.listOpals.o.R",0,50.24
"R/ds.listServersideFunctions.o.R",100,50.24
"R/ds.look.o.R",100,50.24
"R/ds.make.o.R",66.67,50.24
"R/ds.matrixDet.R",69.09,50.24
"R/ds.matrixDet.report.R",90.91,50.24
"R/ds.matrixDiag.R",0,50.24
"R/ds.matrixDimnames.R",68.63,50.24
"R/ds.matrixInvert.R",68.63,50.24
"R/ds.matrixMult.R",67.92,50.24
"R/ds.matrix.R",66.15,50.24
"R/ds.matrixTranspose.R",68.63,50.24
"R/ds.mean.o.R",94.83,50.24
"R/ds.meanSdGp.R",88.5,50.24
"R/ds.merge.o.R",0,50.24
"R/ds.message.o.R",100,50.24
"R/ds.rbind.o.R",66.36,50.24
"R/ds.rBinom.o.R",66.98,50.24
"R/ds.recodeValues.o.R",70.59,50.24
"R/ds.reShape.o.R",0,50.24
"R/ds.rilm.b.R",0,50.24
"R/ds.rm.o.R",100,50.24
"R/ds.rNorm.o.R",66.35,50.24
"R/ds.rPois.o.R",67.35,50.24
"R/ds.rUnif.o.R",66.35,50.24
"R/ds.scatterPlot.o.R",0,50.24
"R/ds.seq.o.R",74.03,50.24
"R/ds.setDefaultOpals.o.R",0,50.24
"R/ds.setSeed.o.R",75,50.24
"R/ds.table2D.o.R",81.4,50.24
"R/ds.tapply.assign.o.R",0,50.24
"R/ds.tapply.o.R",0,50.24
"R/ds.testObjExists.o.R",43.75,50.24
"R/ds.tTestF.R",0,50.24
"R/ds.unList.o.R",100,50.24
"R/ds.var.o.R",84.21,50.24
"R/extract.R",100,50.24
"R/findLoginObjects.R",33.33,50.24
"R/getOpals.R",54.29,50.24
"R/getPooledMean.R",0,50.24
"R/getPooledVar.R",0,50.24
"R/glmChecks.R",0,50.24
"R/isAssigned.R",0,50.24
"R/isDefined.R",88.89,50.24
"R/logical2int.R",0,50.24
"R/rowPercent.R",100,50.24
"R/subsetHelper.R",0,50.24
"R/tTestHelper1.R",0,50.24
"R/tTestHelper2.R",0,50.24
